SourceFile,Video Classes 1,Keywords
A001_C001_1030VO.mp4,Splash Screen,Kitchen
A001_C002_10301F.mp4,Splash Screen,Kitchen
A001_C003_1030Y0.mp4,Splash Screen,Kitchen
A001_C004_1030VL.mp4,Splash Screen,Kitchen
A001_C005_10303O.mp4,Splash Screen,Kitchen
A001_C006_1030D3.mp4,Splash Screen,Kitchen
A001_C007_1030D1.mp4,Splash Screen,Kitchen
A001_C008_10307F.mp4,Splash Screen,Kitchen
A001_C009_10302P.mp4,Splash Screen,Kitchen
A001_C010_1030E8.mp4,Product opening,Washing Machine
A001_C011_10303H.mp4,Product opening,Washing Machine
A001_C012_1030BM.mp4,Product opening,Washing Machine
A001_C013_1030QI.mp4,Product opening,Washing Machine
A001_C014_103013.mp4,Product opening,Washing Machine
A001_C015_103021.mp4,Product opening,Washing Machine
A001_C016_1030Y8.mp4,Product opening,Washing Machine
A001_C017_1030CS.mp4,Product opening,Washing Machine
A001_C018_10307N.mp4,Product opening,Washing Machine
A002_C001_10308D.mp4,Clapperboard,Washing Machine
A002_C002_1030ER.mp4,Product opening,Washing Machine
A002_C003_10304U.mp4,Product opening,Washing Machine
A002_C004_1030E0.mp4,Product opening,Washing Machine
A002_C005_1030V5.mp4,Product opening,Washing Machine
A002_C006_1030F7.mp4,Clapperboard,Washing Machine
A002_C007_1030N1.mp4,Product opening,Washing Machine
A002_C008_1030BQ.mp4,Product opening,Washing Machine
A002_C009_1030X0.mp4,Product opening,Washing Machine
A002_C010_1030L8.mp4,Clapperboard,Washing Machine
A002_C011_1030RI.mp4,Product opening,Washing Machine
A002_C012_1030UL.mp4,Product opening,Washing Machine
A002_C013_10303J.mp4,Product opening,Washing Machine
A002_C014_10302Q.mp4,Product opening,Washing Machine
A002_C015_1030VV.mp4,Product opening,Washing Machine
A002_C016_10301W.mp4,Clapperboard,Washing Machine
A002_C017_1030GC.mp4,Product opening,Washing Machine
A002_C018_10305Q.mp4,Product opening,Washing Machine
A002_C019_1030BB.mp4,Product opening,Washing Machine
A002_C020_1030KW.mp4,Product opening,Washing Machine
A002_C021_1030MC.mp4,Product opening,Washing Machine
A002_C022_10304A.mp4,Product opening,Washing Machine
A002_C023_10307Q.mp4,Product opening,Washing Machine
A002_C024_1030GJ.mp4,Product opening,Washing Machine
A002_C025_1030EB.mp4,Product opening,Washing Machine
A002_C026_1030B4.mp4,Clapperboard,Washing Machine
A002_C027_1030V7.mp4,Clapperboard,Washing Machine
A002_C028_10307E.mp4,Product opening,Washing Machine
A002_C029_1030UE.mp4,Product opening,Washing Machine
A002_C030_1030X1.mp4,Product opening,Washing Machine
A002_C031_1030O8.mp4,Clapperboard,Washing Machine
A002_C032_10304F.mp4,Product opening,Washing Machine
A002_C033_10307T.mp4,Product opening,Washing Machine
A002_C034_1030B3.mp4,Product opening,Washing Machine
A002_C035_1030KD.mp4,Product opening,Washing Machine
A002_C036_1030G2.mp4,Product opening,Washing Machine
A002_C037_10308U.mp4,Product opening,Washing Machine
A002_C038_10300K.mp4,Product opening,Washing Machine
A002_C039_1030LH.mp4,Clapperboard,Washing Machine
A002_C040_10300I.mp4,Clapperboard,Washing Machine
A002_C041_1030VL.mp4,Product opening,Washing Machine
A002_C042_1030BL.mp4,Product opening,Washing Machine
A002_C043_1030A9.mp4,Product opening,Washing Machine
A002_C044_1030J9.mp4,Product opening,Washing Machine
A002_C045_10306Z.mp4,Product opening,Washing Machine
A002_C046_10300R.mp4,Clapperboard,Washing Machine
A002_C047_1030ED.mp4,Product opening,Washing Machine
A002_C048_1030DP.mp4,Product opening,Washing Machine
A002_C049_1030N3.mp4,Product opening,Washing Machine
A002_C050_103042.mp4,Product opening,Washing Machine
A002_C051_1030QX.mp4,Product opening,Washing Machine
A002_C052_1030TX.mp4,Product opening,Washing Machine
A002_C053_1030EH.mp4,Product opening,Washing Machine
A002_C054_103028.mp4,Product opening,Washing Machine
A003_C001_1030EN.mp4,Clapperboard,Washing Machine
A003_C002_1030KY.mp4,Product opening,Washing Machine
A003_C003_1030NB.mp4,Product opening,Washing Machine
A003_C004_1030UC.mp4,Clapperboard,Washing Machine
A003_C005_1030NI.mp4,Product opening,Washing Machine
A003_C006_1030ZQ.mp4,Product opening,Washing Machine
A003_C007_1030AQ.mp4,Product opening,Washing Machine
A003_C008_1030XG.mp4,Product opening,Washing Machine
A003_C009_1030VA.mp4,Product opening,Washing Machine
A003_C010_1030HV.mp4,Product opening,Washing Machine
A003_C011_1030RO.mp4,Product opening,Washing Machine
A003_C012_10301D.mp4,Product opening,Washing Machine
A003_C013_1030RB.mp4,Product opening,Washing Machine
A003_C014_10303Z.mp4,Product opening,Washing Machine
A003_C015_1030QR.mp4,Product opening,Washing Machine
A003_C016_1030KA.mp4,Product opening,Washing Machine
A003_C017_1030ZN.mp4,Clapperboard,Washing Machine
A003_C018_10304K.mp4,Application1,Washing Machine
A003_C019_1030I3.mp4,Application1,Washing Machine
A003_C020_1030ES.mp4,Application1,Washing Machine
A003_C021_1030XW.mp4,Application1,Washing Machine
A003_C022_103053.mp4,Application1,Washing Machine
A003_C023_1030XD.mp4,Application1,Washing Machine
A003_C024_103093.mp4,Application1,Washing Machine
A003_C025_1030ZM.mp4,Application1,Washing Machine
A003_C026_1030O7.mp4,Application1,Washing Machine
A003_C027_1030KK.mp4,Application1,Washing Machine
A003_C028_1030KM.mp4,Application1,Washing Machine
A003_C029_1030LR.mp4,Clapperboard,Washing Machine
A003_C030_1030FX.mp4,Application1,Washing Machine
A003_C031_10302Y.mp4,Application1,Washing Machine
A003_C032_10305I.mp4,Application1,Washing Machine
A003_C033_1030UJ.mp4,Application1,Washing Machine
A003_C034_10309B.mp4,Application1,Washing Machine
A003_C035_10304T.mp4,Application1,Washing Machine
A003_C036_1030NU.mp4,Clapperboard,Washing Machine
A003_C037_1030SJ.mp4,Clapperboard,Washing Machine
A003_C038_1030Y3.mp4,Application1,Washing Machine
A003_C039_1030JP.mp4,Application1,Washing Machine
A003_C040_10300K.mp4,Application1,Washing Machine
A003_C041_1030PG.mp4,Application1,Washing Machine
A003_C042_1030RG.mp4,Application1,Washing Machine
A003_C043_1030FG.mp4,Application1,Washing Machine
A003_C044_10304J.mp4,Application1,Washing Machine
A003_C045_1030JR.mp4,Application1,Washing Machine
A003_C046_1030LO.mp4,Application1,Washing Machine
A003_C047_103061.mp4,Clapperboard,Washing Machine
A003_C048_1030TL.mp4,Clapperboard,Washing Machine
A003_C049_10305W.mp4,Application1,Washing Machine
A003_C050_103046.mp4,Application1,Washing Machine
A003_C051_10304S.mp4,Application1,Washing Machine
A003_C052_1030L2.mp4,Application1,Washing Machine
A003_C053_10305J.mp4,Application1,Washing Machine
A004_C001_1030EC.mp4,Clapperboard,Washing Machine
A004_C002_1030DJ.mp4,Application1,Washing Machine
